hari,volume
2023-03-01,43
2023-03-02,45
2023-03-03,52
2023-03-04,40
2023-03-05,38
2023-03-06,42
2023-03-07,42
2023-03-08,42
2023-03-09,49
2023-03-10,69
2023-03-11,60
2023-03-12,59
2023-03-13,89
2023-03-14,100
2023-03-15,75
2023-03-16,66
2023-03-17,78
2023-03-18,77
2023-03-19,80
2023-03-20,96
2023-03-21,95
2023-03-22,85
2023-03-23,80
2023-03-24,76
2023-03-25,59
2023-03-26,58
2023-03-27,67
2023-03-28,64
2023-03-29,65
2023-03-30,66
2023-03-31,63
2023-04-01,50
2023-04-02,51
2023-04-03,60
2023-04-04,61
2023-04-05,59
2023-04-06,57
2023-04-07,54
2023-04-08,45
2023-04-09,44
2023-04-10,59
2023-04-11,85
2023-04-12,75
2023-04-13,67
2023-04-14,70
2023-04-15,51
2023-04-16,53
2023-04-17,61
2023-04-18,59
2023-04-19,57
2023-04-20,58
2023-04-21,56
2023-04-22,48
2023-04-23,49
2023-04-24,57
2023-04-25,55
2023-04-26,63
2023-04-27,59
2023-04-28,54
2023-04-29,45
2023-04-30,43
2023-05-01,57
2023-05-02,55
2023-05-03,52
2023-05-04,52
2023-05-05,51
2023-05-06,43
2023-05-07,43
2023-05-08,53
2023-05-09,51
2023-05-10,52
2023-05-11,47
2023-05-12,48
2023-05-13,37
2023-05-14,39
2023-05-15,46
2023-05-16,43
2023-05-17,44
2023-05-18,45
2023-05-19,42
2023-05-20,32
2023-05-21,34
2023-05-22,41
2023-05-23,42
2023-05-24,42
2023-05-25,41
2023-05-26,40
2023-05-27,32
2023-05-28,36
2023-05-29,40
2023-05-30,44
2023-05-31,42
2023-06-01,60
2023-06-02,59
2023-06-03,44
2023-06-04,50
2023-06-05,69
2023-06-06,82
2023-06-07,71
2023-06-08,62
2023-06-09,57
2023-06-10,65
2023-06-11,61
2023-06-12,66
2023-06-13,60
2023-06-14,60
2023-06-15,70
2023-06-16,65
2023-06-17,52
2023-06-18,50
2023-06-19,59
2023-06-20,68
2023-06-21,92
2023-06-22,89
2023-06-23,89
2023-06-24,79
2023-06-25,76
2023-06-26,77
2023-06-27,76
2023-06-28,73
2023-06-29,69
2023-06-30,76
2023-07-01,59
2023-07-02,61
2023-07-03,75
2023-07-04,71
2023-07-05,69
2023-07-06,72
2023-07-07,67
2023-07-08,52
2023-07-09,54
2023-07-10,68
2023-07-11,68
2023-07-12,65
2023-07-13,81
2023-07-14,84
2023-07-15,61
2023-07-16,56
2023-07-17,67
2023-07-18,66
2023-07-19,67
2023-07-20,65
2023-07-21,58
2023-07-22,47
2023-07-23,49
2023-07-24,67
2023-07-25,59
2023-07-26,62
2023-07-27,57
2023-07-28,59
2023-07-29,45
2023-07-30,42
2023-07-31,52
2023-08-01,55
2023-08-02,59
2023-08-03,52
2023-08-04,49
2023-08-05,49
2023-08-06,44
2023-08-07,51
2023-08-08,56
2023-08-09,55
2023-08-10,50
2023-08-11,50
2023-08-12,42
2023-08-13,42
2023-08-14,49
2023-08-15,48
2023-08-16,48
2023-08-17,66
2023-08-18,100
2023-08-19,66
2023-08-20,54
2023-08-21,70
2023-08-22,70
2023-08-23,65
2023-08-24,59
2023-08-25,56
2023-08-26,45
2023-08-27,44
2023-08-28,52
2023-08-29,71
2023-08-30,64
2023-08-31,60
2023-09-01,38
2023-09-02,30
2023-09-03,29
2023-09-04,31
2023-09-05,33
2023-09-06,33
2023-09-07,33
2023-09-08,34
2023-09-09,26
2023-09-10,27
2023-09-11,34
2023-09-12,37
2023-09-13,33
2023-09-14,33
2023-09-15,32
2023-09-16,28
2023-09-17,26
2023-09-18,35
2023-09-19,34
2023-09-20,36
2023-09-21,33
2023-09-22,30
2023-09-23,26
2023-09-24,26
2023-09-25,30
2023-09-26,31
2023-09-27,32
2023-09-28,32
2023-09-29,30
2023-09-30,28
2023-10-01,28
2023-10-02,42
2023-10-03,37
2023-10-04,34
2023-10-05,32
2023-10-06,31
2023-10-07,28
2023-10-08,27
2023-10-09,33
2023-10-10,31
2023-10-11,32
2023-10-12,31
2023-10-13,28
2023-10-14,27
2023-10-15,28
2023-10-16,43
2023-10-17,40
2023-10-18,38
2023-10-19,33
2023-10-20,47
2023-10-21,38
2023-10-22,38
2023-10-23,60
2023-10-24,100
2023-10-25,81
2023-10-26,67
2023-10-27,53
2023-10-28,47
2023-10-29,45
2023-10-30,53
2023-10-31,51
2023-11-01,51
2023-11-02,55
2023-11-03,52
2023-11-04,42
2023-11-05,44
2023-11-06,49
2023-11-07,50
2023-11-08,50
2023-11-09,72
2023-11-10,66
2023-11-11,53
2023-11-12,48
2023-11-13,54
2023-11-14,55
2023-11-15,54
2023-11-16,56
2023-11-17,46
2023-11-18,42
2023-11-19,40
2023-11-20,54
2023-11-21,51
2023-11-22,54
2023-11-23,46
2023-11-24,49
2023-11-25,45
2023-11-26,42
2023-11-27,47
2023-11-28,50
2023-11-29,49
2023-11-30,49
2023-12-01,30
2023-12-02,29
2023-12-03,31
2023-12-04,57
2023-12-05,55
2023-12-06,51
2023-12-07,42
2023-12-08,42
2023-12-09,37
2023-12-10,33
2023-12-11,43
2023-12-12,36
2023-12-13,34
2023-12-14,36
2023-12-15,33
2023-12-16,29
2023-12-17,27
2023-12-18,32
2023-12-19,33
2023-12-20,34
2023-12-21,34
2023-12-22,35
2023-12-23,29
2023-12-24,29
2023-12-25,28
2023-12-26,33
2023-12-27,32
2023-12-28,32
2023-12-29,31
2023-12-30,26
2023-12-31,27
2024-01-01,32
2024-01-02,48
2024-01-03,46
2024-01-04,43
2024-01-05,38
2024-01-06,31
2024-01-07,30
2024-01-08,43
2024-01-09,51
2024-01-10,62
2024-01-11,82
2024-01-12,58
2024-01-13,44
2024-01-14,36
2024-01-15,38
2024-01-16,37
2024-01-17,35
2024-01-18,33
2024-01-19,35
2024-01-20,27
2024-01-21,26
2024-01-22,32
2024-01-23,37
2024-01-24,32
2024-01-25,30
2024-01-26,28
2024-01-27,22
2024-01-28,23
2024-01-29,27
2024-01-30,29
2024-01-31,26
2024-02-01,23
2024-02-02,24
2024-02-03,19
2024-02-04,19
2024-02-05,23
2024-02-06,22
2024-02-07,22
2024-02-08,29
2024-02-09,37
2024-02-10,29
2024-02-11,31
2024-02-12,44
2024-02-13,49
2024-02-14,48
2024-02-15,50
2024-02-16,42
2024-02-17,33
2024-02-18,32
2024-02-19,36
2024-02-20,37
2024-02-21,33
2024-02-22,34
2024-02-23,30
2024-02-24,26
2024-02-25,26
2024-02-26,39
2024-02-27,62
2024-02-28,100
2024-02-29,92
